url,name,description,language,Category,blockchain,updated_at
https://api.github.com/repos/modood/btckeygen,btckeygen,"A very simple and easy to use bitcoin(btc) key/wallet generator. A Golang implementation of the BIP32/BIP39/BIP43/BIP44/SLIP44/BIP49/BIP84/BIP173 for creating keys, mnemonic seeds and Hierarchical Deterministic (HD) addresses.",Go,Crypto,multi,2024-06-20 09:45:31+00:00
https://api.github.com/repos/koraylinux/paper-wallet,paper-wallet,"Lightweight, open-source, universal paper wallet generator",JavaScript,Crypto,bitcoin,2024-11-04 07:54:11+00:00
https://api.github.com/repos/Toporin/SatoChipApplet,SatoChipApplet,Open source javacard applet implementing a Bitcoin hardware wallet with partial BIP32 support,Java,Crypto,bitcoin,2024-12-19 13:51:49+00:00
https://api.github.com/repos/MagicalBitcoin/magical-bitcoin-wallet,magical-bitcoin-wallet,,Rust,Crypto,bitcoin,2025-03-06 00:57:28+00:00
https://api.github.com/repos/litecoincash-project/litecoincash,litecoincash,Staging/intergration tree for Litecoin Cash core wallet.,C++,Crypto,litecoin,2024-04-07 12:17:09+00:00
https://api.github.com/repos/Karbovanets/Karbowanec-Blockchain-Explorer,Karbowanec-Blockchain-Explorer,Block explorer for Karbowanec CryptoNote based cryptocurrency.,,Crypto,others,2025-01-26 01:54:24+00:00
https://api.github.com/repos/mollie/Prestashop,Prestashop,"iDEAL, Creditcard, Bancontact/Mister Cash, SOFORT, Bank transfer, Bitcoin, PayPal & paysafecard for Prestashop",PHP,Crypto,bitcoin,2025-03-05 12:26:00+00:00
https://api.github.com/repos/ddnlink/ddn,ddn,"DDN, Data Delivery Network,  a next generation blockchain system",JavaScript,Others,bitcoin,2025-01-24 01:48:31+00:00
https://api.github.com/repos/ensdomains/ens-app,ens-app,"Integrated ENS app with registrar, manager and sub-domain registrar combined",JavaScript,Others,ethereum,2024-08-06 08:56:45+00:00
https://api.github.com/repos/gnosis/ethcontract-rs,ethcontract-rs,Generate type-safe bindings for interacting with Ethereum contracts.,Rust,Crypto,ethereum,2025-01-06 18:17:48+00:00
